Title,Year,Station,Statistic,Month,Value,Latitude ,logitude,Unit,Sourse
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Sep,34.4,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Oct,32.8,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Nov,33.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Dec,34,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Jan,13,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Feb,14.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Mar,15.8,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Apr,21.4,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,May,22.8,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Jun,23.6,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Jul,22.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
